file_name,n_inclusions,total_inclusion_area,mean_area,median_area,sd_area,min_area,max_area,q25_area,q75_area,inclusion_pct,sample_id,display_name,sample_name,fabric_type,polarization,mean_circularity,mean_aspect_ratio,mean_solidity,Fine,Medium,Coarse,Very Coarse,Fine_pct,Medium_pct,Coarse_pct,Very Coarse_pct
53-204_xp_000009.jpg,121,156989.0,1297.4,608.0,3236.5,8.0,28212.0,326.0,1026.0,5.0,000009,Sample 1,53-204,A,XPL,0.816,1.637,0.955,51,54,13,3,42.1,44.6,10.7,2.5
53-204_xp_000010.jpg,134,132604.0,989.6,619.0,1356.8,17.0,9244.0,369.5,971.2,4.2,000010,Sample 2,53-204,A,XPL,0.794,1.783,0.954,53,67,13,1,39.6,50.0,9.7,0.7
53-204_xp_000012.jpg,136,282186.0,2074.9,601.5,7103.9,1.0,70698.0,320.0,1008.0,9.0,000012,Sample 3,53-204,A,XPL,0.781,1.719,0.95,59,57,13,7,43.4,41.9,9.6,5.1
90-53_xp_000020.jpg,187,669491.0,3580.2,760.0,7783.6,6.0,60130.0,401.5,2020.0,21.3,000020,Sample 4,90-53,C,XPL,0.787,1.7,0.947,66,73,24,24,35.3,39.0,12.8,12.8
90-53_xp_000025.jpg,182,680017.0,3736.4,761.5,7965.4,10.0,63340.0,308.8,2596.0,21.6,000025,Sample 5,90-53,C,XPL,0.792,1.68,0.949,70,61,27,24,38.5,33.5,14.8,13.2
90-53_xp_000030.jpg,185,657365.0,3553.3,758.0,8771.7,2.0,57948.0,398.0,1892.0,20.9,000030,Sample 6,90-53,C,XPL,0.786,1.695,0.95,63,77,25,20,34.1,41.6,13.5,10.8
8-587_xp_000030.jpg,186,753255.0,4049.8,922.0,8283.9,23.0,70162.0,428.5,3108.0,23.9,000030,Sample 7,8-587,C,XPL,0.79,1.673,0.957,58,69,36,23,31.2,37.1,19.4,12.4
8-587_xp_000034.jpg,187,854218.0,4568.0,1035.0,11811.7,7.0,135370.0,453.5,3569.0,27.2,000034,Sample 8,8-587,C,XPL,0.788,1.675,0.955,54,65,39,29,28.9,34.8,20.9,15.5
8-587_xp_000040.jpg,102,777085.0,7618.5,3797.5,9679.0,493.0,51977.0,1576.5,11010.0,24.7,000040,Sample 9,8-587,C,XPL,0.752,1.804,0.962,1,33,40,28,1.0,32.4,39.2,27.5
139-45_xp_000035.jpg,160,1259181.0,7869.9,1743.0,24236.6,32.0,283699.0,803.8,6853.0,40.0,000035,Sample 10,139-45,C,XPL,0.786,1.639,0.96,13,73,39,35,8.1,45.6,24.4,21.9
139-45_xp_000057.jpg,201,742934.0,3696.2,1490.0,7519.9,30.0,82517.0,758.0,3453.0,23.6,000057,Sample 11,139-45,C,XPL,0.805,1.556,0.962,21,103,57,20,10.4,51.2,28.4,10.0
17-112_xp_000037.jpg,197,509050.0,2584.0,1131.0,5744.8,6.0,43520.0,624.0,2204.0,16.2,000037,Sample 12,17-112,D,XPL,0.81,1.583,0.96,37,108,42,10,18.8,54.8,21.3,5.1
17-112_xp_000041.jpg,198,547358.0,2764.4,1167.5,4646.3,4.0,26589.0,638.0,2426.8,17.4,000041,Sample 13,17-112,D,XPL,0.807,1.616,0.959,30,109,45,14,15.2,55.1,22.7,7.1
17-112_xp_000043.jpg,202,772572.0,3824.6,1509.5,9032.3,15.0,91412.0,780.2,3224.2,24.6,000043,Sample 14,17-112,D,XPL,0.806,1.574,0.962,20,100,67,15,9.9,49.5,33.2,7.4
12_251_xp_000025.jpg,202,1789558.0,8859.2,6938.0,8191.9,7.0,78097.0,3870.0,12062.2,56.9,000025,Sample 15,12_251,E,XPL,0.721,2.1,0.952,11,10,95,86,5.4,5.0,47.0,42.6
12_251_xp_000030.jpg,169,1675771.0,9915.8,7400.0,8648.2,29.0,44137.0,4643.0,12164.0,53.3,000030,Sample 16,12_251,E,XPL,0.745,1.803,0.961,3,10,79,77,1.8,5.9,46.7,45.6
12_251_xp_000035.jpg,137,1361452.0,9937.6,6303.0,16011.6,260.0,130408.0,3875.0,10869.0,43.3,000035,Sample 17,12_251,E,XPL,0.73,1.915,0.96,2,6,74,55,1.5,4.4,54.0,40.1
17-142_xp_000038.jpg,145,647550.0,4465.9,621.0,11942.7,4.0,80127.0,415.0,2129.0,20.6,000038,Sample 18,17-142,W,XPL,0.775,1.952,0.945,58,50,20,17,40.0,34.5,13.8,11.7
17-142_xp_000045.jpg,103,720830.0,6998.3,1049.0,15068.7,108.0,118140.0,565.5,5831.5,22.9,000045,Sample 19,17-142,W,XPL,0.768,1.729,0.95,20,41,19,23,19.4,39.8,18.4,22.3
17-142_xp_000055.jpg,135,978906.0,7251.2,1647.0,20746.3,54.0,197478.0,710.0,5945.0,31.1,000055,Sample 20,17-142,W,XPL,0.76,1.894,0.955,22,49,41,23,16.3,36.3,30.4,17.0
